years,nsw016,nsw1725,nsw2639,nsw4064,nsw6574,,vic016,vic1725,vic2639,vic4064,vic6574,,qld016,qld1725,qld2639,qld4064,qld6574,,sa016,sa1725,sa2639,sa4064,sa6574,,wa016,wa1725,wa2639,wa4064,wa6574,,tas016,tas1725,tas2639,tas4064,tas6574,,nt016,nt1725,nt2639,nt4064,nt6574,,act016,act1725,act2639,act4064,act6574
2004,35,115,119,139,37,,27,89,60,100,32,,25,95,64,80,12,,7,40,38,40,7,,16,57,44,43,9,,1,21,10,20,2,,1,11,14,9,0,,0,1,4,2,1
2005,29,111,120,140,42,,17,104,94,76,23,,31,91,85,79,21,,10,48,32,38,7,,9,50,44,38,9,,4,9,11,16,3,,8,5,20,18,4,,2,8,8,3,3
2006,41,142,110,120,44,,31,71,86,96,20,,21,89,97,88,9,,6,28,27,40,10,,10,68,43,57,10,,7,19,12,11,2,,2,14,15,10,1,,0,4,3,2,2
2007,23,94,100,129,39,,20,85,83,95,21,,26,89,93,104,21,,7,38,24,24,8,,16,54,76,66,8,,3,13,12,14,1,,6,15,20,16,0,,0,4,4,3,3
2008,17,91,75,115,32,,15,80,67,83,14,,20,87,86,90,17,,7,29,26,24,5,,17,59,54,50,15,,4,10,13,8,1,,6,19,21,22,2,,1,2,3,3,0
2009,33,105,106,129,33,,19,66,62,91,18,,27,82,84,95,19,,7,40,26,34,2,,16,43,54,56,14,,4,14,9,25,6,,0,9,10,10,2,,0,3,4,5,0
2010,17,100,84,125,35,,14,74,63,86,17,,16,59,59,79,15,,6,32,19,43,9,,13,48,51,57,13,,2,6,7,9,5,,5,13,16,13,3,,1,4,6,6,0
2011,19,79,63,131,21,,22,72,52,84,19,,29,50,76,73,21,,5,13,28,35,5,,11,48,39,48,14,,1,4,5,10,2,,6,13,10,14,1,,0,1,2,3,0
2012,22,83,73,106,35,,13,65,61,86,22,,15,72,70,85,14,,5,17,14,31,7,,9,38,57,56,10,,2,3,4,12,5,,3,5,17,20,2,,1,1,3,4,1
2013,12,73,67,109,35,,8,39,46,78,26,,24,58,54,89,19,,5,15,11,38,9,,13,30,43,45,19,,1,6,8,8,7,,3,6,13,10,5,,0,2,1,1,0
